"from","to","weight","hourdiff","is_duplicate"
"187484555","187484557",1,0,"from"
"187484557","187484555",1,0,"to"
"187484559","187479275",0.5306,-24,"from"
"187484561","187479331",0.5466,-24,"from"
"187484563","187484495",1,0,"to"
"187484563","187484509",1,0,"to"
"187484564","187484586",0.5882,0,"from"
"187484567","187484481",1,0,"to"
"187484571","187484361",0.8719,0,"to"
"187484578","187479217",0.4121,-24,"both"
"187484578","187479299",0.4121,-24,"from"
"187484586","187484564",0.5882,0,"to"
"187484589","187482981",0.5028,-24,"from"
"187484589","187488247",0.4359,24,"both"
"187484597","187484648",1,0,"both"
"187484597","187484666",1,0,"from"
"187484599","187482972",1,-24,"from"
"187484599","187488286",1,24,"both"
"187484601","187484645",1,0,"both"
"187484601","187484651",1,0,"from"
"187484604","187484649",1,0,"from"
"187484607","187488260",0.7283,24,"to"
"187484609","187482973",1,-24,"from"
"187484609","187488252",1,24,"both"
"187484612","187482917",0.9809,-24,"from"
"187484612","187488227",1,24,"both"
"187484613","187484654",1,0,"from"
"187484615","187484646",1,0,"from"
"187484617","187484668",1,0,"both"
"187484617","187484669",1,0,"from"
"187484625","187484673",1,0,"from"
"187484628","187484640",1,0,"from"
"187484629","187482931",0.4756,-24,"from"
"187484640","187484628",1,0,"to"
"187484641","187482995",1,-24,"from"
"187484641","187488241",1,24,"both"
"187484643","187482927",0.4118,-24,"both"
"187484643","187482959",0.4118,-24,"from"
"187484643","187484644",1,0,"both"
"187484644","187482927",0.4118,-24,"both"
"187484644","187482959",0.4118,-24,"from"
"187484644","187484643",1,0,"both"
"187484645","187484601",1,0,"both"
"187484645","187484651",1,0,"from"
"187484646","187484615",1,0,"to"
"187484648","187484597",1,0,"both"
"187484648","187484666",1,0,"from"
"187484649","187484604",1,0,"to"
"187484651","187484601",1,0,"to"
"187484651","187484645",1,0,"to"
"187484654","187484613",1,0,"to"
"187484656","187482998",0.4379,-24,"from"
"187484659","187482968",0.8388,-24,"from"
"187484659","187488297",0.8686,24,"both"
"187484666","187484597",1,0,"to"
"187484666","187484648",1,0,"to"
"187484668","187484617",1,0,"both"
"187484668","187484669",1,0,"from"
"187484669","187484617",1,0,"to"
"187484669","187484668",1,0,"to"
"187484673","187484625",1,0,"to"
"187486119","187486144",1,0,"both"
"187486119","187486161",1,0,"from"
"187486122","187486228",1,0,"from"
"187486124","187486165",1,0,"from"
"187486130","187486137",0.99,0,"both"
"187486130","187486138",1,0,"both"
"187486130","187486160",0.99,0,"from"
"187486136","187486141",1,0,"from"
"187486137","187486130",0.99,0,"both"
"187486137","187486138",0.99,0,"both"
"187486137","187486160",1,0,"from"
"187486138","187486130",1,0,"both"
"187486138","187486137",0.99,0,"both"
"187486138","187486160",0.99,0,"from"
"187486141","187486136",1,0,"to"
"187486144","187486119",1,0,"both"
"187486144","187486161",1,0,"from"
"187486146","187484507",0.6008,-24,"from"
"187486156","187484352",0.8229,-24,"both"
"187486160","187486130",0.99,0,"to"
"187486160","187486137",1,0,"to"
"187486160","187486138",0.99,0,"to"
"187486161","187486119",1,0,"to"
"187486161","187486144",1,0,"to"
"187486162","187486166",1,0,"from"
"187486165","187486124",1,0,"to"
"187486166","187486162",1,0,"to"
"187486168","187486169",1,0,"from"
"187486169","187486168",1,0,"to"
"187486174","187486175",1,0,"from"
"187486175","187486174",1,0,"to"
"187486176","187486178",1,0,"from"
"187486178","187486176",1,0,"to"
"187486202","187486207",1,0,"from"
"187486206","187486323",1,0,"from"
"187486207","187486202",1,0,"to"
"187486215","187486327",1,0,"from"
"187486216","187484552",0.6481,-24,"from"
"187486223","187486229",1,0,"both"
"187486223","187486319",1,0,"from"
"187486228","187486122",1,0,"to"
"187486229","187486223",1,0,"both"
"187486229","187486319",1,0,"from"
"187486237","187486390",0.5079,0,"from"
"187486252","187486296",1,0,"from"
"187486255","187486376",1,0,"from"
"187486256","187486294",1,0,"from"
"187486257","187486265",1,0,"from"
"187486258","187486361",0.5261,0,"from"
"187486258","187490012",0.4789,24,"both"
"187486262","187486333",1,0,"from"
"187486265","187486257",1,0,"to"
"187486267","187486276",0.5319,0,"both"
"187486267","187486337",0.5319,0,"from"
"187486268","187484490",0.4614,-24,"both"
"187486270","187484345",0.4831,-24,"from"
"187486272","187486310",1,0,"from"
"187486276","187486267",0.5319,0,"both"
"187486276","187486337",1,0,"from"
"187486277","187486303",1,0,"from"
"187486278","187486301",0.4764,0,"both"
"187486278","187486318",0.4764,0,"from"
"187486279","187486349",1,0,"from"
"187486285","187486350",0.6179,0,"both"
"187486285","187486358",0.6179,0,"from"
"187486294","187486256",1,0,"to"
"187486296","187486252",1,0,"to"
"187486301","187486278",0.4764,0,"both"
"187486301","187486318",1,0,"from"
"187486303","187486277",1,0,"to"
"187486305","187486394",1,0,"from"
"187486310","187486272",1,0,"to"
"187486314","187486334",1,0,"from"
"187486318","187486278",0.4764,0,"to"
"187486318","187486301",1,0,"to"
"187486319","187486223",1,0,"to"
"187486319","187486229",1,0,"to"
"187486323","187486206",1,0,"to"
"187486327","187486215",1,0,"to"
"187486330","187484421",0.4252,-24,"from"
"187486332","187486373",1,0,"from"
"187486333","187486262",1,0,"to"
"187486334","187486314",1,0,"to"
"187486337","187486267",0.5319,0,"to"
"187486337","187486276",1,0,"to"
"187486349","187486279",1,0,"to"
"187486350","187486285",0.6179,0,"both"
"187486350","187486358",1,0,"from"
"187486352","187486367",1,0,"from"
"187486354","187490087",0.6435,24,"to"
"187486355","187486359",1,0,"from"
"187486356","187486362",1,0,"both"
"187486356","187486387",1,0,"from"
"187486358","187486285",0.6179,0,"to"
"187486358","187486350",1,0,"to"
"187486359","187486355",1,0,"to"
"187486361","187486258",0.5261,0,"to"
"187486362","187486356",1,0,"both"
"187486362","187486387",1,0,"from"
"187486364","187486389",1,0,"from"
"187486365","187484450",0.4862,-24,"from"
"187486367","187486352",1,0,"to"
"187486373","187486332",1,0,"to"
"187486374","187484541",0.4255,-24,"from"
"187486376","187486255",1,0,"to"
"187486384","187484416",0.4536,-24,"both"
"187486384","187484545",0.4536,-24,"from"
"187486387","187486356",1,0,"to"
"187486387","187486362",1,0,"to"
"187486389","187486364",1,0,"to"
"187486390","187486237",0.5079,0,"to"
"187486394","187486305",1,0,"to"
"187486409","187486441",0.4334,-24,"both"
"187486409","187486448",0.5366,-24,"both"
"187486409","187486449",0.5366,-24,"both"
"187486409","187486452",0.6201,-24,"both"
"187486409","187486634",0.5071,0,"both"
"187486409","187486637",0.5062,0,"both"
"187486409","187486639",0.4227,0,"both"
"187486409","187486641",0.4739,0,"both"
"187486409","187486797",0.4576,0,"both"
"187486410","187486574",0.7491,-24,"from"
"187486411","187486575",0.5116,-24,"both"
"187486415","187486416",0.7274,0,"from"
"187486416","187486415",0.7274,0,"to"
"187486417","187486584",0.4994,-24,"from"
"187486418","187486420",0.9981,0,"from"
"187486420","187486418",0.9981,0,"to"
"187486422","187486423",0.9862,0,"from"
"187486423","187486422",0.9862,0,"to"
"187486440","187486501",0.5275,0,"from"
"187486441","187834917",0.4091,-24,"both"
"187486441","187834918",0.41,-24,"both"
"187486441","187486448",0.4077,0,"both"
"187486441","187486449",0.4076,0,"both"
"187486441","187486452",0.5699,0,"both"
"187486441","187486409",0.4334,24,"both"
"187486448","187834917",0.7282,-24,"both"
"187486448","187834918",0.7297,-24,"both"
"187486448","187486441",0.4077,0,"both"
"187486448","187486449",0.9967,0,"both"
"187486448","187486452",0.5738,0,"both"
"187486448","187486409",0.5366,24,"both"
"187486448","187486634",0.5221,24,"both"
"187486448","187486637",0.5642,24,"both"
"187486448","187486641",0.6438,24,"both"
"187486448","187486797",0.5813,24,"both"
"187486448","187486799",0.4579,24,"both"
"187486449","187834917",0.7237,-24,"both"
"187486449","187834918",0.7252,-24,"both"
"187486449","187486441",0.4076,0,"both"
"187486449","187486448",0.9967,0,"both"
"187486449","187486452",0.5739,0,"both"
"187486449","187486409",0.5366,24,"both"
"187486449","187486634",0.522,24,"both"
"187486449","187486637",0.5672,24,"both"
"187486449","187486641",0.6464,24,"both"
"187486449","187486797",0.5828,24,"both"
"187486449","187486799",0.458,24,"both"
"187486450","187486451",0.5178,0,"from"
"187486451","187486450",0.5178,0,"to"
"187486452","187834917",0.5857,-24,"both"
"187486452","187834918",0.5986,-24,"both"
"187486452","187486441",0.5699,0,"both"
"187486452","187486448",0.5738,0,"both"
"187486452","187486449",0.5739,0,"both"
"187486452","187486409",0.6201,24,"both"
"187486452","187486634",0.5022,24,"both"
"187486452","187486637",0.5096,24,"both"
"187486452","187486639",0.4323,24,"both"
"187486452","187486641",0.4923,24,"both"
"187486452","187486797",0.4882,24,"both"
"187486462","187486463",0.4713,0,"from"
"187486463","187486462",0.4713,0,"to"
"187486466","187486467",0.4032,0,"from"
"187486467","187486466",0.4032,0,"to"
"187486475","187486539",0.9918,0,"from"
"187486476","187486555",0.9668,0,"from"
"187486477","187486547",0.8122,0,"from"
"187486482","187486571",0.9422,0,"from"
"187486483","187486556",0.833,0,"from"
"187486486","187835048",0.5808,-24,"from"
"187486492","187835053",0.5024,-24,"from"
"187486501","187486440",0.5275,0,"to"
"187486505","187486671",0.4589,24,"to"
"187486511","187834832",0.6376,-24,"both"
"187486511","187486681",0.7047,24,"both"
"187486513","187834838",0.7019,-24,"from"
"187486539","187486475",0.9918,0,"to"
"187486547","187486477",0.8122,0,"to"
"187486555","187486476",0.9668,0,"to"
"187486556","187486483",0.833,0,"to"
"187486571","187486482",0.9422,0,"to"
"187486572","187834913",0.4603,-24,"both"
"187486574","187486410",0.7491,24,"to"
"187486574","187486783",0.4059,24,"to"
"187486575","187834915",0.5598,-24,"from"
"187486575","187486411",0.5116,24,"both"
"187486577","187834919",0.4026,-24,"from"
"187486596","187834936",0.415,-24,"both"
"187486600","187486602",0.584,0,"both"
"187486600","187486969",0.523,0,"from"
"187486602","187486600",0.584,0,"both"
"187486602","187486969",0.592,0,"from"
"187486633","187486651",0.5461,0,"from"
"187486634","187486448",0.5221,-24,"both"
"187486634","187486449",0.522,-24,"both"
"187486634","187486452",0.5022,-24,"both"
"187486634","187486409",0.5071,0,"both"
"187486634","187486637",0.9738,0,"both"
"187486634","187486641",0.5822,0,"both"
"187486634","187486797",0.4488,0,"both"
"187486634","187486799",0.6587,0,"both"
"187486635","187486643",0.639,0,"from"
"187486637","187486448",0.5642,-24,"both"
"187486637","187486449",0.5672,-24,"both"
"187486637","187486452",0.5096,-24,"both"
"187486637","187486409",0.5062,0,"both"
"187486637","187486634",0.9738,0,"both"
"187486637","187486641",0.6298,0,"both"
"187486637","187486797",0.4778,0,"both"
"187486637","187486799",0.6741,0,"both"
"187486639","187486452",0.4323,-24,"both"
"187486639","187486409",0.4227,0,"both"
"187486641","187486448",0.6438,-24,"both"
"187486641","187486449",0.6464,-24,"both"
"187486641","187486452",0.4923,-24,"both"
"187486641","187486409",0.4739,0,"both"
"187486641","187486634",0.5822,0,"both"
"187486641","187486637",0.6298,0,"both"
"187486641","187486797",0.5287,0,"both"
"187486641","187486799",0.5835,0,"both"
"187486643","187486635",0.639,0,"to"
"187486651","187486633",0.5461,0,"to"
"187486671","187486505",0.4589,-24,"from"
"187486681","187486511",0.7047,-24,"both"
"187486714","187486715",1,0,"both"
"187486714","187486716",1,0,"from"
"187486715","187486714",1,0,"both"
"187486715","187486716",1,0,"from"
"187486716","187486714",1,0,"to"
"187486716","187486715",1,0,"to"
"187486717","187486718",1,0,"both"
"187486717","187486719",1,0,"from"
"187486718","187486717",1,0,"both"
"187486718","187486719",1,0,"from"
"187486719","187486717",1,0,"to"
"187486719","187486718",1,0,"to"
"187486729","187486730",0.9936,0,"from"
"187486730","187486729",0.9936,0,"to"
"187486735","187486736",1,0,"both"
"187486735","187486737",1,0,"from"
"187486736","187486735",1,0,"both"
"187486736","187486737",1,0,"from"
"187486737","187486735",1,0,"to"
"187486737","187486736",1,0,"to"
"187486751","187486752",1,0,"from"
"187486752","187486751",1,0,"to"
"187486757","187486758",0.998,0,"from"
"187486758","187486757",0.998,0,"to"
"187486783","187486574",0.4059,-24,"from"
"187486797","187486448",0.5813,-24,"both"
"187486797","187486449",0.5828,-24,"both"
"187486797","187486452",0.4882,-24,"both"
"187486797","187486409",0.4576,0,"both"
"187486797","187486634",0.4488,0,"both"
"187486797","187486637",0.4778,0,"both"
"187486797","187486641",0.5287,0,"both"
"187486799","187486448",0.4579,-24,"both"
"187486799","187486449",0.458,-24,"both"
"187486799","187486634",0.6587,0,"both"
"187486799","187486637",0.6741,0,"both"
"187486799","187486641",0.5835,0,"both"
"187486801","187487112",0.6379,24,"to"
"187486804","187486988",0.5887,-24,"from"
"187486807","187486808",0.4218,0,"from"
"187486808","187486807",0.4218,0,"to"
"187486812","187486912",0.9696,0,"from"
"187486813","187486885",0.9623,0,"from"
"187486814","187486911",0.9342,0,"from"
"187486815","187486888",0.9514,0,"from"
"187486817","187486883",0.79,0,"from"
"187486851","187487083",0.8308,24,"to"
"187486857","187487089",0.4311,24,"to"
"187486883","187486817",0.79,0,"to"
"187486885","187486813",0.9623,0,"to"
"187486888","187486815",0.9514,0,"to"
"187486898","187487131",0.4267,24,"to"
"187486911","187486814",0.9342,0,"to"
"187486912","187486812",0.9696,0,"to"
"187486921","187487152",0.4683,24,"to"
"187486943","187487181",0.4017,24,"to"
"187486969","187486600",0.523,0,"to"
"187486969","187486602",0.592,0,"to"
"187486988","187486804",0.5887,24,"to"
"187486997","187486998",0.4593,0,"from"
"187486998","187486997",0.4593,0,"to"
"187487010","187487235",0.4143,24,"to"
"187487018","187487188",0.4527,-24,"from"
"187487022","187487023",0.9822,0,"from"
"187487023","187487022",0.9822,0,"to"
"187487028","187487261",0.6442,24,"to"
"187487033","187487034",0.4347,0,"from"
"187487034","187487033",0.4347,0,"to"
"187487037","187487038",0.995,0,"both"
"187487037","187487040",0.9939,0,"from"
"187487038","187487037",0.995,0,"both"
"187487038","187487040",0.9928,0,"from"
"187487040","187487037",0.9939,0,"to"
"187487040","187487038",0.9928,0,"to"
"187487043","187487144",0.979,0,"from"
"187487044","187487139",0.9758,0,"from"
"187487045","187487118",0.8978,0,"from"
"187487048","187487127",0.977,0,"from"
"187487049","187487148",1,0,"from"
"187487051","187487149",0.9418,0,"from"
"187487052","187487126",0.8689,0,"from"
"187487069","187487243",0.4881,24,"to"
"187487070","187487071",0.9895,0,"from"
"187487071","187487070",0.9895,0,"to"
"187487074","187487076",0.9724,0,"from"
"187487076","187487074",0.9724,0,"to"
"187487083","187486851",0.8308,-24,"from"
"187487083","187487315",0.5934,24,"both"
"187487086","187487314",0.4268,24,"to"
"187487089","187486857",0.4311,-24,"from"
"187487099","187487269",0.4549,24,"to"
"187487112","187486801",0.6379,-24,"from"
"187487112","187487350",0.4845,24,"both"
"187487118","187487045",0.8978,0,"to"
"187487126","187487052",0.8689,0,"to"
"187487127","187487048",0.977,0,"to"
"187487131","187486898",0.4267,-24,"from"
"187487139","187487044",0.9758,0,"to"
"187487144","187487043",0.979,0,"to"
"187487148","187487049",1,0,"to"
"187487149","187487051",0.9418,0,"to"
"187487152","187486921",0.4683,-24,"from"
"187487152","187487385",0.4684,24,"both"
"187487153","187487392",0.5332,24,"to"
"187487154","187487155",0.9949,0,"from"
"187487154","187487390",0.412,24,"both"
"187487155","187487154",0.9949,0,"to"
"187487155","187487390",0.4146,24,"to"
"187487169","187487397",0.5692,24,"to"
"187487181","187486943",0.4017,-24,"from"
"187487183","187487186",0.4422,0,"from"
"187487186","187487183",0.4422,0,"to"
"187487188","187487018",0.4527,24,"to"
"187487199","187487514",0.9672,0,"from"
"187487202","187487521",0.8504,0,"from"
"187487206","187487519",0.9161,0,"from"
"187487212","187487385",0.4383,-24,"both"
"187487214","187487388",0.5948,-24,"from"
"187487218","187487392",0.4145,-24,"both"
"187487235","187487010",0.4143,-24,"from"
"187487240","187487502",0.4627,24,"to"
"187487241","187487490",0.4545,24,"to"
"187487243","187487069",0.4881,-24,"from"
"187487261","187487028",0.6442,-24,"from"
"187487269","187487099",0.4549,-24,"from"
"187487274","187487376",0.9874,0,"from"
"187487275","187487360",0.9386,0,"from"
"187487278","187487361",0.8731,0,"from"
"187487308","187487309",0.9862,0,"from"
"187487309","187487308",0.9862,0,"to"
"187487314","187487086",0.4268,-24,"from"
"187487314","187487543",0.5469,24,"both"
"187487315","187487083",0.5934,-24,"both"
"187487315","187487547",0.4137,24,"both"
"187487346","187487352",0.4349,0,"from"
"187487349","187487351",0.5265,0,"from"
"187487350","187487112",0.4845,-24,"both"
"187487350","187487494",0.5234,24,"both"
"187487351","187487349",0.5265,0,"to"
"187487352","187487346",0.4349,0,"to"
"187487360","187487275",0.9386,0,"to"
"187487361","187487278",0.8731,0,"to"
"187487376","187487274",0.9874,0,"to"
"187487385","187487152",0.4684,-24,"both"
"187487385","187487212",0.4383,24,"both"
"187487386","187487387",0.4631,0,"from"
"187487387","187487386",0.4631,0,"to"
"187487388","187487214",0.5948,24,"to"
"187487390","187487154",0.412,-24,"both"
"187487390","187487155",0.4146,-24,"from"
"187487392","187487153",0.5332,-24,"from"
"187487392","187487218",0.4145,24,"both"
"187487397","187487169",0.5692,-24,"from"
"187487403","187487404",1,0,"from"
"187487404","187487403",1,0,"to"
"187487414","187487716",0.4148,0,"from"
"187487447","187487461",0.6526,0,"from"
"187487450","187487457",0.627,0,"from"
"187487453","187487455",0.6599,0,"from"
"187487455","187487453",0.6599,0,"to"
"187487457","187487450",0.627,0,"to"
"187487461","187487447",0.6526,0,"to"
"187487485","187487501",0.5657,0,"from"
"187487487","187487536",0.6751,0,"from"
"187487487","187487680",0.6572,24,"both"
"187487490","187487241",0.4545,-24,"from"
"187487494","187487350",0.5234,-24,"both"
"187487501","187487485",0.5657,0,"to"
"187487502","187487240",0.4627,-24,"from"
"187487514","187487199",0.9672,0,"to"
"187487517","187487573",0.9569,0,"from"
"187487519","187487206",0.9161,0,"to"
"187487521","187487202",0.8504,0,"to"
"187487536","187487487",0.6751,0,"to"
"187487539","187487540",0.6643,0,"from"
"187487540","187487539",0.6643,0,"to"
"187487543","187487314",0.5469,-24,"both"
"187487547","187487315",0.4137,-24,"both"
"187487573","187487517",0.9569,0,"to"
"187487603","187487604",0.4028,0,"from"
"187487604","187487603",0.4028,0,"to"
"187487605","187487607",0.6045,0,"both"
"187487605","187487911",0.4419,24,"both"
"187487607","187487605",0.6045,0,"both"
"187487607","187487610",0.4695,0,"from"
"187487610","187487607",0.4695,0,"to"
"187487613","187487908",0.4966,24,"to"
"187487624","187487915",0.4476,24,"to"
"187487626","187487627",0.9776,0,"from"
"187487627","187487626",0.9776,0,"to"
"187487636","187487643",0.427,0,"from"
"187487643","187487636",0.427,0,"to"
"187487662","187487664",0.4446,0,"from"
"187487664","187487662",0.4446,0,"to"
"187487680","187487487",0.6572,-24,"both"
"187487680","187487536",0.5899,-24,"from"
"187487682","187487543",0.53,-24,"both"
"187487682","187487685",0.6072,0,"both"
"187487682","187487691",0.6513,0,"both"
"187487684","187487700",0.7172,0,"from"
"187487685","187487543",0.576,-24,"both"
"187487685","187487682",0.6072,0,"both"
"187487685","187487691",0.5223,0,"both"
"187487691","187487543",0.697,-24,"both"
"187487691","187487682",0.6513,0,"both"
"187487691","187487685",0.5223,0,"both"
"187487693","187487702",0.7393,0,"from"
"187487696","187487547",0.5997,-24,"both"
"187487700","187487684",0.7172,0,"to"
"187487702","187487693",0.7393,0,"to"
"187487716","187487414",0.4148,0,"to"
"187487727","187487729",1,0,"both"
"187487727","187487731",1,0,"from"
"187487729","187487727",1,0,"both"
"187487729","187487731",1,0,"from"
"187487731","187487727",1,0,"to"
"187487731","187487729",1,0,"to"
"187487736","187487737",1,0,"both"
"187487736","187487739",1,0,"from"
"187487737","187487736",1,0,"both"
"187487737","187487739",1,0,"from"
"187487738","187487740",1,0,"from"
"187487739","187487736",1,0,"to"
"187487739","187487737",1,0,"to"
"187487740","187487738",1,0,"to"
"187487742","187487745",1,0,"both"
"187487742","187487747",1,0,"from"
"187487745","187487742",1,0,"both"
"187487745","187487747",1,0,"from"
"187487747","187487742",1,0,"to"
"187487747","187487745",1,0,"to"
"187487749","187487754",1,0,"from"
"187487753","187487756",1,0,"from"
"187487754","187487749",1,0,"to"
"187487756","187487753",1,0,"to"
"187487761","187487762",1,0,"from"
"187487762","187487761",1,0,"to"
"187487763","187487766",1,0,"from"
"187487765","187487767",1,0,"from"
"187487766","187487763",1,0,"to"
"187487767","187487765",1,0,"to"
"187487768","187487772",1,0,"from"
"187487772","187487768",1,0,"to"
"187487775","187487780",1,0,"from"
"187487780","187487775",1,0,"to"
"187487789","187487794",1,0,"from"
"187487794","187487789",1,0,"to"
"187487797","187487798",1,0,"from"
"187487798","187487797",1,0,"to"
"187487806","187488068",0.5519,24,"to"
"187487830","187488052",0.7296,24,"to"
"187487887","187488196",0.9843,0,"from"
"187487887","187488100",0.4009,24,"both"
"187487889","187488192",0.9713,0,"from"
"187487890","187488197",0.882,0,"from"
"187487893","187488193",0.9954,0,"from"
"187487895","187488112",0.4722,24,"to"
"187487900","187488113",0.4683,24,"to"
"187487908","187487613",0.4966,-24,"from"
"187487911","187487605",0.4419,-24,"both"
"187487915","187487624",0.4476,-24,"from"
"187487915","187488126",0.438,24,"both"
"187487922","187487937",0.4301,-24,"from"
"187487937","187487922",0.4301,24,"to"
"187487951","187488165",0.4514,24,"to"
"187487970","187488187",0.4388,24,"to"
"187487992","187487995",0.6965,0,"from"
"187487995","187487992",0.6965,0,"to"
"187488002","187832719",0.5959,24,"to"
"187488017","187488186",0.5816,-24,"from"
"187488030","187832432",0.5405,24,"to"
"187488052","187487830",0.7296,-24,"from"
"187488052","187832460",0.7337,24,"both"
"187488057","187832456",0.4607,24,"to"
"187488068","187487806",0.5519,-24,"from"
"187488077","187488094",0.5609,0,"from"
"187488094","187488077",0.5609,0,"to"
"187488100","187487887",0.4009,-24,"both"
"187488112","187487895",0.4722,-24,"from"
"187488113","187487900",0.4683,-24,"from"
"187488113","187832523",0.4684,24,"both"
"187488114","187488119",0.458,0,"both"
"187488114","187488120",0.469,0,"both"
"187488114","187488125",0.4316,0,"from"
"187488114","187488138",0.4185,0,"from"
"187488114","187488139",0.4204,0,"from"
"187488119","187488114",0.458,0,"both"
"187488119","187488120",0.4551,0,"both"
"187488119","187488139",0.4286,0,"from"
"187488120","187488114",0.469,0,"both"
"187488120","187488119",0.4551,0,"both"
"187488120","187488139",0.4331,0,"from"
"187488120","187488144",0.4602,0,"from"
"187488125","187488114",0.4316,0,"to"
"187488126","187487915",0.438,-24,"both"
"187488138","187488114",0.4185,0,"to"
"187488139","187488114",0.4204,0,"to"
"187488139","187488119",0.4286,0,"to"
"187488139","187488120",0.4331,0,"to"
"187488144","187488120",0.4602,0,"to"
"187488154","187488190",0.4749,-24,"from"
"187488159","187832549",0.4454,24,"to"
"187488161","187488170",0.5534,0,"from"
"187488165","187487951",0.4514,-24,"from"
"187488170","187488161",0.5534,0,"to"
"187488186","187488017",0.5816,24,"to"
"187488187","187487970",0.4388,-24,"from"
"187488190","187488154",0.4749,24,"to"
"187488192","187487889",0.9713,0,"to"
"187488193","187487893",0.9954,0,"to"
"187488196","187487887",0.9843,0,"to"
"187488197","187487890",0.882,0,"to"
"187488200","187488230",1,0,"both"
"187488200","187488281",0.4285,0,"from"
"187488201","187488239",1,0,"from"
"187488210","187488264",1,0,"from"
"187488217","187488231",1,0,"both"
"187488217","187488296",1,0,"from"
"187488222","187488234",0.551,0,"both"
"187488222","187488240",0.551,0,"both"
"187488222","187488282",0.551,0,"from"
"187488227","187484612",1,-24,"both"
"187488227","187512581",1,24,"both"
"187488230","187488200",1,0,"both"
"187488230","187488281",0.4285,0,"from"
"187488231","187488217",1,0,"both"
"187488231","187488296",1,0,"from"
"187488234","187488222",0.551,0,"both"
"187488234","187488240",1,0,"both"
"187488234","187488279",0.4109,0,"both"
"187488234","187488282",1,0,"from"
"187488239","187488201",1,0,"to"
"187488240","187488222",0.551,0,"both"
"187488240","187488234",1,0,"both"
"187488240","187488279",0.4109,0,"both"
"187488240","187488282",1,0,"from"
"187488241","187484641",1,-24,"both"
"187488241","187512596",0.982,24,"both"
"187488247","187484589",0.4359,-24,"both"
"187488252","187484609",1,-24,"both"
"187488252","187512598",1,24,"both"
"187488260","187484607",0.7283,-24,"from"
"187488262","187488266",1,0,"from"
"187488264","187488210",1,0,"to"
"187488266","187488262",1,0,"to"
"187488272","187488291",1,0,"from"
"187488276","187488295",1,0,"from"
"187488279","187488234",0.4109,0,"both"
"187488279","187488240",0.4109,0,"both"
"187488279","187488282",0.4109,0,"from"
"187488281","187488200",0.4285,0,"to"
"187488281","187488230",0.4285,0,"to"
"187488282","187488222",0.551,0,"to"
"187488282","187488234",1,0,"to"
"187488282","187488240",1,0,"to"
"187488282","187488279",0.4109,0,"to"
"187488284","187512611",0.678,24,"to"
"187488286","187484599",1,-24,"both"
"187488286","187512643",1,24,"both"
"187488291","187488272",1,0,"to"
"187488295","187488276",1,0,"to"
"187488296","187488217",1,0,"to"
"187488296","187488231",1,0,"to"
"187488297","187484659",0.8686,-24,"both"
"187488297","187512614",0.8367,24,"both"
"187488300","187488316",1,0,"from"
"187488306","187512591",0.5788,24,"to"
"187488307","187488315",1,0,"from"
"187488312","187512610",0.4764,24,"to"
"187488312","187512625",0.4764,24,"to"
"187488315","187488307",1,0,"to"
"187488316","187488300",1,0,"to"
"187488321","187512605",0.708,24,"to"
"187489861","187490054",1,0,"from"
"187489862","187489874",1,0,"from"
"187489863","187514690",0.7261,24,"to"
"187489866","187489894",1,0,"from"
"187489870","187489974",1,0,"from"
"187489873","187489982",1,0,"from"
"187489874","187489862",1,0,"to"
"187489877","187490008",1,0,"from"
"187489882","187490018",1,0,"from"
"187489884","187490076",1,0,"from"
"187489889","187490026",1,0,"from"
"187489894","187489866",1,0,"to"
"187489896","187490068",0.5314,0,"from"
"187489903","187490035",1,0,"from"
"187489923","187490049",1,0,"from"
"187489924","187489990",1,0,"from"
"187489928","187514544",0.4548,24,"to"
"187489941","187490132",1,0,"from"
"187489946","187489988",1,0,"from"
"187489952","187486156",0.7573,-24,"both"
"187489955","187490084",1,0,"from"
"187489956","187490108",1,0,"from"
"187489960","187490081",1,0,"from"
"187489968","187490057",1,0,"from"
"187489970","187490065",1,0,"from"
"187489974","187489870",1,0,"to"
"187489980","187490140",1,0,"from"
"187489982","187489873",1,0,"to"
"187489984","187490004",1,0,"from"
"187489988","187489946",1,0,"to"
"187489990","187489924",1,0,"to"
"187489992","187490061",1,0,"from"
"187489994","187490121",1,0,"from"
"187489997","187490059",0.5478,0,"from"
"187490004","187489984",1,0,"to"
"187490008","187489877",1,0,"to"
"187490011","187490055",1,0,"from"
"187490012","187486258",0.4789,-24,"both"
"187490012","187514716",0.4753,24,"both"
"187490015","187490070",1,0,"from"
"187490018","187489882",1,0,"to"
"187490026","187489889",1,0,"to"
"187490032","187490073",1,0,"both"
"187490032","187490109",0.809,0,"from"
"187490033","187490078",1,0,"from"
"187490035","187489903",1,0,"to"
"187490038","187490126",1,0,"from"
"187490049","187489923",1,0,"to"
"187490052","187514517",0.5238,24,"to"
"187490054","187489861",1,0,"to"
"187490055","187490011",1,0,"to"
"187490056","187490139",0.9998,0,"from"
"187490057","187489968",1,0,"to"
"187490059","187489997",0.5478,0,"to"
"187490061","187489992",1,0,"to"
"187490065","187489970",1,0,"to"
"187490068","187489896",0.5314,0,"to"
"187490069","187486219",0.4148,-24,"from"
"187490070","187490015",1,0,"to"
"187490073","187490032",1,0,"both"
"187490073","187490109",0.809,0,"from"
"187490076","187489884",1,0,"to"
"187490078","187490033",1,0,"to"
"187490081","187489960",1,0,"to"
"187490084","187489955",1,0,"to"
