"from","to","weight","hourdiff","is_duplicate"
"187426305","187419922",0.5897,-24,"from"
"187426305","187426331",1,0,"both"
"187426306","187426299",1,0,"both"
"187426306","187426319",1,0,"both"
"187426306","187426348",0.4704,0,"from"
"187426309","187426288",1,0,"to"
"187426311","187419935",0.4015,-24,"from"
"187426311","187426314",0.5156,0,"both"
"187426311","187426340",0.4811,0,"from"
"187426311","187459463",0.4598,24,"both"
"187426311","187459476",0.477,24,"both"
"187426314","187419935",0.4104,-24,"from"
"187426314","187426311",0.5156,0,"both"
"187426314","187426340",0.4972,0,"from"
"187426314","187459463",0.4204,24,"both"
"187426314","187459476",0.4877,24,"both"
"187426319","187426299",1,0,"both"
"187426319","187426306",1,0,"both"
"187426319","187426348",0.4704,0,"from"
"187426322","187426341",1,0,"from"
"187426323","187419964",0.5226,-24,"from"
"187426325","187419959",0.6203,-24,"from"
"187426328","187426301",1,0,"to"
"187426331","187419922",0.5897,-24,"from"
"187426331","187426305",1,0,"both"
"187426333","187419953",0.5792,-24,"from"
"187426334","187419917",0.642,-24,"from"
"187426334","187459485",0.6445,24,"both"
"187426339","187419960",0.8674,-24,"from"
"187426339","187459471",0.8002,24,"both"
"187426340","187426311",0.4811,0,"to"
"187426340","187426314",0.4972,0,"to"
"187426340","187459463",0.4169,24,"to"
"187426340","187459476",0.4442,24,"to"
"187426341","187426322",1,0,"to"
"187426343","187419952",1,-24,"from"
"187426343","187459418",1,24,"both"
"187426346","187459463",0.4753,24,"to"
"187426347","187426275",1,0,"to"
"187426348","187426299",0.4704,0,"to"
"187426348","187426306",0.4704,0,"to"
"187426348","187426319",0.4704,0,"to"
"187426350","187426353",1,0,"from"
"187426352","187426356",1,0,"from"
"187426353","187426350",1,0,"to"
"187426356","187426352",1,0,"to"
"187426364","187426290",1,0,"to"
"187453447","187461158",0.5637,24,"to"
"187453453","187453504",1,0,"from"
"187453464","187453467",1,0,"both"
"187453464","187453502",0.4815,0,"from"
"187453465","187453484",1,0,"from"
"187453467","187453464",1,0,"both"
"187453467","187453502",0.4815,0,"from"
"187453468","187421245",0.6092,-24,"both"
"187453468","187461161",0.4879,24,"both"
"187453469","187453473",1,0,"both"
"187453469","187453487",1,0,"from"
"187453473","187453469",1,0,"both"
"187453473","187453487",1,0,"from"
"187453478","187453488",0.4941,0,"both"
"187453478","187453500",0.4941,0,"from"
"187453478","187461231",0.4251,24,"both"
"187453484","187453465",1,0,"to"
"187453487","187453469",1,0,"to"
"187453487","187453473",1,0,"to"
"187453488","187453478",0.4941,0,"both"
"187453488","187453500",1,0,"from"
"187453488","187461231",0.5089,24,"both"
"187453497","187461245",0.4093,24,"to"
"187453500","187453478",0.4941,0,"to"
"187453500","187453488",1,0,"to"
"187453500","187461231",0.5089,24,"to"
"187453502","187453464",0.4815,0,"to"
"187453502","187453467",0.4815,0,"to"
"187453504","187453453",1,0,"to"
"187453517","187453662",1,0,"from"
"187453522","187461172",0.4835,24,"to"
"187453523","187453667",1,0,"from"
"187453525","187453672",0.4298,0,"both"
"187453525","187453706",1,0,"from"
"187453525","187461237",0.4265,24,"both"
"187453526","187453624",0.5277,0,"both"
